,nA1,steps,nA2,age,social,neigh10,reprod,food,death,patch,mutation_rate,round,time,combination
0,1515.0,0,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
1,1515.0,1,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
2,1515.0,2,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
3,1515.0,3,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
4,2080.0,4,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
5,2080.0,5,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
6,2080.0,6,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
7,2080.0,7,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
8,2080.0,8,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
9,2645.0,9,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
10,2645.0,10,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
11,2645.0,11,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
12,2645.0,12,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
13,2645.0,13,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
14,3268.0,14,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
15,3268.0,15,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
16,3268.0,16,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
17,3268.0,17,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
18,3268.0,18,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
19,3868.0,19,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
20,3868.0,20,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
21,3868.0,21,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
22,3868.0,22,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
23,3868.0,23,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
24,4380.0,24,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
25,4380.0,25,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
26,4380.0,26,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
27,4380.0,27,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
28,4380.0,28,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
29,4877.0,29,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
30,4877.0,30,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
31,4877.0,31,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
32,4877.0,32,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
33,4877.0,33,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
34,5320.0,34,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
35,5320.0,35,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
36,5320.0,36,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
37,5320.0,37,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
38,5320.0,38,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
39,5730.0,39,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
40,5831.0,40,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
41,5831.0,41,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
42,5831.0,42,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
43,5831.0,43,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
44,6221.0,44,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
45,6221.0,45,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
46,6221.0,46,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
47,6221.0,47,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
48,6221.0,48,0.0,0.0,0.0,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
49,6555.0,49,50.0,1.0,-0.0301872344754154,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
50,6555.0,50,50.0,2.0,-0.030187234475415426,-1,0.0,0.0,0.0,5.0,0.025,10,1482.399254322052,2
