,nA1,steps,nA2,age,neigh10,reprod,food,death,social,mutation_rate,round,time,combination
0,200.0,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
1,200.0,1,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
2,200.0,2,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
3,200.0,3,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
4,311.0,4,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
5,311.0,5,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
6,311.0,6,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
7,311.0,7,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
8,311.0,8,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
9,465.0,9,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
10,465.0,10,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
11,465.0,11,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
12,465.0,12,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
13,465.0,13,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
14,666.0,14,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
15,666.0,15,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
16,666.0,16,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
17,666.0,17,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
18,666.0,18,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
19,966.0,19,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
20,966.0,20,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
21,966.0,21,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
22,966.0,22,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
23,966.0,23,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
24,1354.0,24,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
25,1354.0,25,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
26,1354.0,26,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
27,1354.0,27,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
28,1354.0,28,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
29,1866.0,29,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
30,1866.0,30,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
31,1866.0,31,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
32,1866.0,32,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
33,1866.0,33,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
34,2483.0,34,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
35,2483.0,35,0.0,0.0,-1.0,0.0,0.0,0.0,0.25,0.025,13,3028.7885410785675,1
