,nA1,steps,nA2,age,neigh10,reprod,food,death,social,mutation_rate,round,time,combination
0,200.0,0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
1,200.0,1,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
2,200.0,2,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
3,200.0,3,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
4,303.0,4,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
5,303.0,5,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
6,303.0,6,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
7,303.0,7,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
8,303.0,8,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
9,461.0,9,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
10,461.0,10,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
11,461.0,11,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
12,461.0,12,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
13,461.0,13,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
14,685.0,14,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
15,685.0,15,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
16,685.0,16,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
17,685.0,17,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
18,685.0,18,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
19,951.0,19,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
20,951.0,20,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
21,951.0,21,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
22,951.0,22,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
23,951.0,23,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
24,1340.0,24,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
25,1340.0,25,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
26,1340.0,26,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
27,1340.0,27,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
28,1340.0,28,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
29,1837.0,29,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
30,1837.0,30,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
31,1837.0,31,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
32,1837.0,32,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
33,1837.0,33,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
34,2423.0,34,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
35,2423.0,35,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
36,2423.0,36,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
37,2423.0,37,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
38,2423.0,38,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
39,3119.0,39,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
40,3119.0,40,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
41,3119.0,41,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
42,3119.0,42,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
43,3119.0,43,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
44,3898.0,44,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
45,3898.0,45,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
46,3898.0,46,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
47,3898.0,47,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
48,3898.0,48,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.025,2,3159.2967751026154,1
49,4796.0,49,20.0,1.0,-1.0,0.0,3.0,0.0,-1.0,0.025,2,3159.2967751026154,1
50,4796.0,50,20.0,2.0,-1.0,0.0,3.2,0.0,-1.0,0.025,2,3159.2967751026154,1
51,4796.0,51,20.0,3.0,-1.0,0.0,3.4,0.0,-1.0,0.025,2,3159.2967751026154,1
52,4796.0,52,20.0,4.0,-1.0,0.0,3.6,0.0,-1.0,0.025,2,3159.2967751026154,1
53,4796.0,53,34.0,2.9411764705882355,-1.0,0.7,2.0,0.0,-1.0,0.025,2,3159.2967751026154,1
54,5691.0,54,34.0,3.941176470588236,-1.0,0.0,4.0,0.0,-1.0,0.025,2,3159.2967751026154,1
55,5691.0,55,34.0,4.735294117647058,-1.0,0.029411764705882356,3.882352941176471,0.029411764705882356,-1.0,0.025,2,3159.2967751026154,1
56,5708.0,56,34.0,5.735294117647059,-1.0,0.0,4.0,0.0,-1.0,0.025,2,3159.2967751026154,1
57,5708.0,57,37.0,6.1891891891891895,-1.0,0.08823529411764706,3.6756756756756763,0.0,-1.0,0.025,2,3159.2967751026154,1
58,5713.0,58,64.0,4.15625,-1.0,0.7297297297297297,2.25,0.0,-1.0,0.025,2,3159.2967751026154,1
59,6649.0,59,64.0,5.15625,-1.0,0.0,4.0,0.0,-1.0,0.025,2,3159.2967751026154,1
60,6650.0,60,67.0,5.880597014925373,-1.0,0.046875,3.82089552238806,0.0,-1.0,0.025,2,3159.2967751026154,1
61,6668.0,61,67.0,6.880597014925373,-1.0,0.0,4.0,0.0,-1.0,0.025,2,3159.2967751026154,1
62,6668.0,62,73.0,7.232876712328768,-1.0,0.08955223880597014,3.671232876712329,0.0,-1.0,0.025,2,3159.2967751026154,1
63,6676.0,63,128.0,4.6953125,-1.0,0.7534246575342466,2.28125,0.0,-1.0,0.025,2,3159.2967751026154,1
64,7648.0,64,128.0,5.6953125,-1.0,0.0,4.0,0.0,-1.0,0.025,2,3159.2967751026154,1
65,7649.0,65,134.0,6.3955223880597005,-1.0,0.046875,3.82089552238806,0.0,-1.0,0.025,2,3159.2967751026154,1
66,7681.0,66,134.0,7.3955223880597005,-1.0,0.0,4.0,0.0,-1.0,0.025,2,3159.2967751026154,1
67,7683.0,67,146.0,7.705479452054795,-1.0,0.08955223880597014,3.671232876712329,0.0,-1.0,0.025,2,3159.2967751026154,1
68,7693.0,68,256.0,4.96484375,-1.0,0.7534246575342466,2.28125,0.0,-1.0,0.025,2,3159.2967751026154,1
69,8631.0,69,256.0,5.96484375,-1.0,0.0,3.96875,0.0,-1.0,0.025,2,3159.2967751026154,1
70,8634.0,70,268.0,6.652985074626867,-1.0,0.046875,3.82089552238806,0.0,-1.0,0.025,2,3159.2967751026154,1
71,8681.0,71,268.0,7.652985074626867,-1.0,0.0,4.0,0.0,-1.0,0.025,2,3159.2967751026154,1
72,8683.0,72,292.0,7.941780821917808,-1.0,0.08955223880597014,3.671232876712329,0.0,-1.0,0.025,2,3159.2967751026154,1
73,8691.0,73,510.0,5.119607843137255,-1.0,0.7465753424657534,2.2901960784313724,0.0,-1.0,0.025,2,3159.2967751026154,1
74,9494.0,74,510.0,6.119607843137255,-1.0,0.0,4.0,0.0,-1.0,0.025,2,3159.2967751026154,1
75,9507.0,75,536.0,6.774253731343284,-1.0,0.05098039215686274,3.805970149253731,0.0,-1.0,0.025,2,3159.2967751026154,1
76,9553.0,76,536.0,7.774253731343284,-1.0,0.0,3.985074626865672,0.0,-1.0,0.025,2,3159.2967751026154,1
77,9556.0,77,584.0,8.053082191780822,-1.0,0.08955223880597014,3.671232876712329,0.0,-1.0,0.025,2,3159.2967751026154,1
78,9564.0,78,1019.0,5.1884200196270855,-1.0,0.7448630136986302,2.292443572129539,0.0,-1.0,0.025,2,3159.2967751026154,1
79,10217.0,79,1019.0,6.1884200196270855,-1.0,0.0,3.992149165848872,0.0,-1.0,0.025,2,3159.2967751026154,1
80,10220.0,80,1071.0,6.839402427637721,-1.0,0.05103042198233562,3.798319327731092,0.0,-1.0,0.025,2,3159.2967751026154,1
81,10274.0,81,1071.0,7.839402427637721,-1.0,0.0,4.0,0.0,-1.0,0.025,2,3159.2967751026154,1
82,10270.0,82,1167.0,8.112253641816624,-1.0,0.0896358543417367,3.667523564695801,0.0,-1.0,0.025,2,3159.2967751026154,1
83,10278.0,83,2033.0,5.230693556320708,-1.0,0.7420736932305055,2.296114117068372,0.0,-1.0,0.025,2,3159.2967751026154,1
