,nA1,steps,nA2,age,social,neigh10,reprod,food,death,mutation_rate,time,combination,start_cog,round
0,50.0,0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
1,80.0,1,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
2,110.0,2,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
3,110.0,3,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
4,110.0,4,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
5,110.0,5,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
6,110.0,6,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
7,110.0,7,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
8,110.0,8,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
9,138.0,9,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
10,157.0,10,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
11,174.0,11,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
12,174.0,12,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
13,174.0,13,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
14,174.0,14,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
15,174.0,15,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
16,174.0,16,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
17,211.0,17,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
18,234.0,18,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
19,259.0,19,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
20,259.0,20,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
21,259.0,21,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
22,259.0,22,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
23,259.0,23,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
24,307.0,24,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
25,353.0,25,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
26,392.0,26,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
27,407.0,27,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
28,407.0,28,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
29,407.0,29,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
30,407.0,30,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
31,407.0,31,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
32,491.0,32,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
33,551.0,33,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
34,613.0,34,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
35,622.0,35,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
36,622.0,36,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
37,622.0,37,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
38,622.0,38,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
39,689.0,39,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
40,788.0,40,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
41,865.0,41,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
42,910.0,42,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
43,914.0,43,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
44,914.0,44,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
45,914.0,45,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
46,914.0,46,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
47,1060.0,47,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
48,1204.0,48,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
49,1318.0,49,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
50,1349.0,50,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
51,1352.0,51,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
52,1352.0,52,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
53,1352.0,53,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
54,1424.0,54,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
55,1622.0,55,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
56,1795.0,56,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
57,1903.0,57,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
58,1925.0,58,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
59,1928.0,59,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
60,1928.0,60,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
61,1928.0,61,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
62,2126.0,62,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
63,2346.0,63,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
64,2545.0,64,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
65,2627.0,65,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
